Taxa	Metaxa2/H1	Metaxa2/H2	Metaxa2/H3	Metaxa2/L2	Metaxa2/L3	Metaxa2/L4
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Flavobacterium	0	0	2	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Polaribacter	1	0	1	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Unclassified Flavobacteriaceae	2	0	0	0	0	3
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter	0	0	0	0	0	17
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter	0	0	0	0	0	4
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Unclassified Sphingobacteriaceae	0	1	0	0	1	17
Bacteria;Bacteroidetes;Unclassified Bacteroidetes;;;	1	4	0	0	0	2
Bacteria;Candidate division TM7;TM7 phylum sp. canine oral taxon 250;Unclassified TM7 phylum sp. canine oral taxon 250;;	3	0	0	0	0	0
Bacteria;Candidate division TM7;TM7 phylum sp. canine oral taxon 308;Unclassified TM7 phylum sp. canine oral taxon 308;;	1	0	0	0	0	0
Bacteria;Candidate division TM7;Unclassified Candidate division TM7;;;	7	0	15	0	0	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Parachlamydiaceae;Neochlamydia	1	0	0	0	0	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Parachlamydiaceae;Parachlamydia	1	0	0	0	0	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Parachlamydiaceae;Unclassified Parachlamydiaceae	1	0	3	0	0	1
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Unclassified Chlamydiales;	0	0	2	0	0	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolinea	1	0	0	0	0	0
Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae;Caldilinea	1	0	0	0	0	0
Bacteria;Chloroflexi;Chloroflexi;Chloroflexales;Chloroflexaceae;Roseiflexus	1	0	0	0	0	0
Bacteria;Chloroflexi;Dehalococcoidetes;Order Incertae Sedis;Family Incertae Sedis;Dehalococcoides	1	0	0	0	0	0
Bacteria;Chloroflexi;Dehalococcoidetes;Order Incertae Sedis;Family Incertae Sedis;Unclassified Family Incertae Sedis	0	1	0	0	0	0
Bacteria;Chloroflexi;Dehalococcoidetes;Unclassified Dehalococcoidetes;;	1	0	0	0	0	0
Bacteria;Chloroflexi;KD4-96;bacterium Ellin6529;Unclassified bacterium Ellin6529;	2	0	7	0	0	0
Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;Ktedonobacter	3	0	0	0	0	0
Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Unclassified Ktedonobacterales;	6	0	0	0	0	0
Bacteria;Chloroflexi;Ktedonobacteria;Unclassified Ktedonobacteria;;	1	0	0	0	0	0
Bacteria;Chloroflexi;TK10;bacterium Ellin6543;Unclassified bacterium Ellin6543;	0	1	0	0	0	0
Bacteria;Chloroflexi;Thermomicrobia;JG30-KF-CM45;bacterium Ellin6537;Unclassified bacterium Ellin6537	1	0	0	0	0	0
Bacteria;Chloroflexi;Thermomicrobia;Sphaerobacterales;Sphaerobacteraceae;Sphaerobacter	4	1	3	0	0	0
Bacteria;Chloroflexi;Thermomicrobia;Sphaerobacterales;Sphaerobacteraceae;Unclassified Sphaerobacteraceae	1	0	1	0	0	0
Bacteria;Chloroflexi;Thermomicrobia;Sphaerobacterales;Unclassified Sphaerobacterales;	0	0	1	0	0	0
Bacteria;Chloroflexi;Thermomicrobia;Unclassified Thermomicrobia;;	4	0	1	0	0	0
Bacteria;Chloroflexi;Unclassified Chloroflexi;;;	3	2	7	0	0	0
Bacteria;Cyanobacteria;4C0d-2;rumen bacterium YS2;Unclassified rumen bacterium YS2;	3	12	1	0	0	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionI;FamilyI;Synechococcus	0	0	0	0	0	2
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionI;Unclassified SubsectionI;	1	0	0	0	0	0
Bacteria;Cyanobacteria;Cyanobacteria;Unclassified Cyanobacteria;;	1	1	0	0	0	0
Bacteria;Cyanobacteria;Unclassified Cyanobacteria;;;	0	3	3	0	0	0
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;Deinococcus	0	0	0	0	3	0
Bacteria;Deinococcus-Thermus;Deinococci;Thermales;Thermaceae;Thermus	1	0	0	0	0	0
Bacteria;Deinococcus-Thermus;Deinococci;Thermales;Thermaceae;Unclassified Thermaceae	1	0	0	0	0	0
Bacteria;Deinococcus-Thermus;Deinococci;Unclassified Deinococci;;	0	0	0	0	0	1
Bacteria;Firmicutes;Bacilli;Bacillales;Alicyclobacillaceae;Alicyclobacillus	12	2	3	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Alicyclobacillaceae;Incertae Sedis	1	0	1	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Alicyclobacillaceae;Tumebacillus	1	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Aeribacillus	3	1	2	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus	3	1	3	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus	129	21	69	279	3	522
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Calditerricola	1	0	1	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Geobacillus	24	4	9	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Unclassified Bacillaceae	21	4	12	57	2	98
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Ureibacillus	21	4	11	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Family XI Incertae Sedis;Gemella	0	0	0	0	0	2
Bacteria;Firmicutes;Bacilli;Bacillales;Family XII Incertae Sedis;Exiguobacterium	46	1	29	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae;Brochothrix	0	0	0	0	0	1
Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae;Listeria	15	8	9	26	0	41
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Aneurinibacillus	11	1	3	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Brevibacillus	34	5	23	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Cohnella	13	0	7	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus	68	11	53	0	0	1
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Thermobacillus	1	0	3	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Unclassified Paenibacillaceae	30	4	21	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Incertae Sedis	1	0	1	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Kurthia	1	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Lysinibacillus	16	0	7	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Paenisporosarcina	2	0	1	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Planomicrobium	4	0	1	28	0	50
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Rummeliibacillus	6	0	2	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Solibacillus	1	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Sporosarcina	7	2	4	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Unclassified Planococcaceae	17	4	8	6	0	8
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Viridibacillus	0	0	1	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Sporolactobacillaceae;Sporolactobacillus	0	0	2	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Sporolactobacillaceae;Tuberibacillus	3	0	2	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Sporolactobacillaceae;Unclassified Sporolactobacillaceae	0	0	2	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Macrococcus	1	0	0	0	0	2
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	0	0	0	0	2	0
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Unclassified Staphylococcaceae	1	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae;Laceyella	18	8	19	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae;Planifilum	18	1	5	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae;Seinonella	0	0	1	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae;Thermoactinomyces	63	2	30	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae;Unclassified Thermoactinomycetaceae	18	4	10	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Unclassified Bacillales;	79	13	29	56	4	101
Bacteria;Firmicutes;Bacilli;IC-BH;anaerobic thermophile IC-BH;Unclassified anaerobic thermophile IC-BH	4	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus	0	0	0	0	13	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Unclassified Aerococcaceae	0	0	0	11	0	3
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Alkalibacterium	0	0	0	0	2	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Carnobacterium	0	0	0	11	2	42
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella	0	0	0	1	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Catellicoccus	3	1	1	1416	39	4824
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	2	3	3	466	13	997
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Unclassified Enterococcaceae	2	1	3	1079	23	2502
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Vagococcus	0	0	0	18	0	36
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	463	9	42	10414	71	2058
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Pediococcus	2	0	0	40	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Unclassified Lactobacillaceae	35	1	2	350	2	13
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Leuconostoc	0	0	0	0	0	5
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Unclassified Leuconostocaceae	1	0	0	0	0	1
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Weissella	0	0	0	17	0	122
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	0	0	0	12	0	2
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	14	4	9	6	326	17
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Unclassified Streptococcaceae	1	2	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Unclassified Lactobacillales;	9	8	3	1356	24	2585
Bacteria;Firmicutes;Bacilli;Unclassified Bacilli;;	14	10	10	759	17	1469
Bacteria;Firmicutes;Clostridia;Clostridiales;Caldicoprobacteraceae;Caldicoprobacter	1	0	3	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenella	0	0	1	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Alkaliphilus	0	1	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Anaerobacter	0	0	1	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Caloramator	0	0	1	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Candidatus Arthromitus	0	0	1	2	0	10
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium	39	16	18	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Unclassified Clostridiaceae	9	6	1	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Unclassified Eubacteriaceae	1	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI Incertae Sedis;Finegoldia	0	1	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI Incertae Sedis;Incertae Sedis	1	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI Incertae Sedis;Parvimonas	0	0	0	0	1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI Incertae Sedis;Peptoniphilus	1	3	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI Incertae Sedis;Sedimentibacter	1	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI Incertae Sedis;Tepidimicrobium	1	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI Incertae Sedis;Tissierella	0	1	3	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI Incertae Sedis;Unclassified Family XI Incertae Sedis	0	3	3	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XIII Incertae Sedis;Incertae Sedis	2	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XIII Incertae Sedis;Unclassified Family XIII Incertae Sedis	6	1	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XVII Incertae Sedis;Thermaerobacter	3	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XVII Incertae Sedis;Unclassified Family XVII Incertae Sedis	2	0	2	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XVIII Incertae Sedis;Symbiobacterium	23	3	11	0	0	2
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XVIII Incertae Sedis;Unclassified Family XVIII Incertae Sedis	1	0	1	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Gracilibacteraceae;Gracilibacter	8	4	7	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Gracilibacteraceae;Lutispora	0	0	2	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Gracilibacteraceae;Unclassified Gracilibacteraceae	1	0	1	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Heliobacteriaceae;Heliobacterium	1	1	1	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerosporobacter	3	2	2	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerostipes	30	85	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia	39	30	4	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus	5	26	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea	2	6	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Hespellia	0	5	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Incertae Sedis	289	946	11	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Johnsonella	0	0	1	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Oribacterium	1	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Pseudobutyrivibrio	2	4	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Robinsoniella	3	0	1	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia	20	20	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Syntrophococcus	5	7	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Unclassified Lachnospiraceae	352	875	20	1	2	0
Bacteria;Firmicutes;Clostridia;Clostridiales;OPB54;Firmicutes	12	2	5	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;OPB54;Unclassified OPB54	2	0	0	0	0	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Cryptanaerobacter	0	0	2	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Dehalobacter	1	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Dehalobacterium	0	0	1	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfitobacterium	6	0	1	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfosporosinus	3	1	1	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfotomaculum	6	3	4	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Pelotomaculum	7	0	7	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Peptococcus	57	24	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Sporotomaculum	2	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Syntrophobotulus	0	0	1	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Unclassified Peptococcaceae	24	12	5	0	0	2
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Filifactor	1	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Incertae Sedis	426	87	29	0	1	2
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Peptostreptococcus	1	0	0	0	0	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Proteocatella	0	1	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Sporacetigenium	0	0	1	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Unclassified Peptostreptococcaceae	2	0	0	0	1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Acetanaerobacterium	3	2	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Acetivibrio	3	1	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerofilum	1	2	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus	3	5	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Butyricicoccus	5	2	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ethanoligenens	1	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium	151	264	2	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Fastidiosipila	1	6	1	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Flavonifractor	15	32	0	0	1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Incertae Sedis	80	61	27	1	0	3
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter	5	18	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pseudoflavonifractor	1	3	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	8	14	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Saccharofermentans	0	0	1	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Sporobacter	1	4	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Subdoligranulum	483	1081	3	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Unclassified Ruminococcaceae	427	836	13	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Syntrophomonadaceae;Syntrophomonas	5	0	1	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Syntrophomonadaceae;Unclassified Syntrophomonadaceae	5	0	1	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Unclassified Clostridiales;	165	146	21	2	1	6
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Allisonella	1	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Dialister	47	205	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Megamonas	334	409	1	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Megasphaera	5	13	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Pelosinus	0	0	4	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Sporomusa	4	0	1	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Unclassified Veillonellaceae	82	117	1	0	0	0
Bacteria;Firmicutes;Clostridia;Halanaerobiales;Halanaerobiaceae;Halothermothrix	1	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Natranaerobiales;Natranaerobiaceae;Natranaerobius	0	0	1	0	0	0
Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Family III Incertae Sedis;Caldicellulosiruptor	0	0	0	7	0	0
Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Family III Incertae Sedis;Tepidanaerobacter	2	0	3	0	0	0
Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Family III Incertae Sedis;Thermoanaerobacterium	0	2	0	0	0	0
Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Family III Incertae Sedis;Unclassified Family III Incertae Sedis	0	0	3	0	0	0
Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Family IV Incertae Sedis;Unclassified Family IV Incertae Sedis	1	1	0	0	0	0
Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Moorella	1	0	1	0	0	0
Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Thermoanaerobacter	1	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Unclassified Thermoanaerobacteraceae	2	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Unclassified Thermoanaerobacterales;	1	0	1	51	0	0
Bacteria;Firmicutes;Clostridia;Thermoanerobacterales;Thermoanaerobacteraceae;Ammonifex	0	0	1	0	0	0
Bacteria;Firmicutes;Clostridia;Unclassified Clostridia;;	26	9	11	6	0	0
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Asteroleplasma	1	0	0	0	0	0
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Bulleidia	0	2	0	0	0	0
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Erysipelothrix	1	0	0	0	0	0
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Incertae Sedis	21	21	0	0	0	1
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Solobacterium	174	331	1	0	0	3
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Turicibacter	75	9	7	0	0	0
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Unclassified Erysipelotrichaceae	160	314	2	0	0	2
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Unclassified Erysipelotrichales;	2	16	0	0	0	0
Bacteria;Firmicutes;Erysipelotrichi;Unclassified Erysipelotrichi;;	5	15	0	0	0	0
Bacteria;Firmicutes;Unclassified Firmicutes;;;	74	55	15	95	0	52
Bacteria;Fusobacteria;Fusobacteria;Fusobacteriales;Fusobacteriaceae;Fusobacterium	0	0	3	0	0	0
Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas	1	2	1	0	0	0
Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Unclassified Gemmatimonadaceae	1	0	1	0	0	0
Bacteria;Gemmatimonadetes;Unclassified Gemmatimonadetes;;;	1	0	1	0	0	0
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Singulisphaera	0	0	0	0	0	1
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Unclassified Planctomycetaceae	0	0	1	0	0	1
Bacteria;Planctomycetes;Unclassified Planctomycetes;;;	2	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas	0	0	1	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Unclassified Caulobacteraceae	0	0	0	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Aurantimonadaceae;Aurantimonas	1	1	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Aurantimonadaceae;Aureimonas	0	4	1	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Aurantimonadaceae;Unclassified Aurantimonadaceae	1	0	2	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bartonellaceae;Bartonella	0	0	1	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Beijerinckia	0	0	0	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bosea	1	0	1	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium	2	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Nitrobacter	0	0	1	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Rhodopseudomonas	1	1	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Unclassified Bradyrhizobiaceae	4	1	2	0	0	2
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Family Incertae Sedis;Bauldia	1	0	1	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Devosia	9	0	27	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Filomicrobium	1	0	1	0	0	0
